#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-01-27 14:24:44 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 02091500 CONTENTNEA CREEK AT HOOKERTON, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		85389	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	02091500	00060	85389	1958	6	410.0
USGS	02091500	00060	85389	1958	7	238.8
USGS	02091500	00060	85389	1958	8	483.3
USGS	02091500	00060	85389	1958	9	403.2
USGS	02091500	00060	85389	1958	10	809.1
USGS	02091500	00060	85389	1958	11	484.3
USGS	02091500	00060	85389	1958	12	485.6
USGS	02091500	00060	85389	1959	1	1214
USGS	02091500	00060	85389	1959	2	1592
USGS	02091500	00060	85389	1959	3	1618
USGS	02091500	00060	85389	1959	4	2656
USGS	02091500	00060	85389	1959	5	444.5
USGS	02091500	00060	85389	1959	6	192.2
USGS	02091500	00060	85389	1959	7	1719
USGS	02091500	00060	85389	1959	8	948.2
USGS	02091500	00060	85389	1959	9	484.8
USGS	02091500	00060	85389	1959	10	1135
USGS	02091500	00060	85389	1959	11	1198
USGS	02091500	00060	85389	1959	12	1072
USGS	02091500	00060	85389	1960	1	1444
USGS	02091500	00060	85389	1960	2	3010
USGS	02091500	00060	85389	1960	3	1838
USGS	02091500	00060	85389	1960	4	1098
USGS	02091500	00060	85389	1960	5	1067
USGS	02091500	00060	85389	1960	6	446.2
USGS	02091500	00060	85389	1960	7	516.8
USGS	02091500	00060	85389	1960	8	2422
USGS	02091500	00060	85389	1960	9	1887
USGS	02091500	00060	85389	1960	10	560.1
USGS	02091500	00060	85389	1960	11	311.8
USGS	02091500	00060	85389	1960	12	430.0
USGS	02091500	00060	85389	1961	1	649.2
USGS	02091500	00060	85389	1961	2	1694
USGS	02091500	00060	85389	1961	3	2150
USGS	02091500	00060	85389	1961	4	1377
USGS	02091500	00060	85389	1961	5	958.4
USGS	02091500	00060	85389	1961	6	412.3
USGS	02091500	00060	85389	1961	7	579.2
USGS	02091500	00060	85389	1961	8	277.9
USGS	02091500	00060	85389	1961	9	127.1
USGS	02091500	00060	85389	1961	10	85.7
USGS	02091500	00060	85389	1961	11	105.5
USGS	02091500	00060	85389	1961	12	314.5
USGS	02091500	00060	85389	1962	1	868.5
USGS	02091500	00060	85389	1962	2	970.9
USGS	02091500	00060	85389	1962	3	1560
USGS	02091500	00060	85389	1962	4	1002
USGS	02091500	00060	85389	1962	5	361.6
USGS	02091500	00060	85389	1962	6	295.7
USGS	02091500	00060	85389	1962	7	1545
USGS	02091500	00060	85389	1962	8	312.7
USGS	02091500	00060	85389	1962	9	319.3
USGS	02091500	00060	85389	1962	10	273.6
USGS	02091500	00060	85389	1962	11	914.3
USGS	02091500	00060	85389	1962	12	606.5
USGS	02091500	00060	85389	1963	1	1550
USGS	02091500	00060	85389	1963	2	1545
USGS	02091500	00060	85389	1963	3	1575
USGS	02091500	00060	85389	1963	4	623.9
USGS	02091500	00060	85389	1963	5	500.5
USGS	02091500	00060	85389	1963	6	276.1
USGS	02091500	00060	85389	1963	7	162.5
USGS	02091500	00060	85389	1963	8	644.6
USGS	02091500	00060	85389	1963	9	275.7
USGS	02091500	00060	85389	1963	10	131.2
USGS	02091500	00060	85389	1963	11	497.4
USGS	02091500	00060	85389	1963	12	1042
USGS	02091500	00060	85389	1964	1	1695
USGS	02091500	00060	85389	1964	2	2008
USGS	02091500	00060	85389	1964	3	2112
USGS	02091500	00060	85389	1964	4	1019
USGS	02091500	00060	85389	1964	5	264.3
USGS	02091500	00060	85389	1964	6	238.5
USGS	02091500	00060	85389	1964	7	209.1
USGS	02091500	00060	85389	1964	8	848.7
USGS	02091500	00060	85389	1964	9	2109
USGS	02091500	00060	85389	1964	10	4183
USGS	02091500	00060	85389	1964	11	559.1
USGS	02091500	00060	85389	1964	12	784.6
USGS	02091500	00060	85389	1965	1	1437
USGS	02091500	00060	85389	1965	2	1807
USGS	02091500	00060	85389	1965	3	1562
USGS	02091500	00060	85389	1965	4	670.7
USGS	02091500	00060	85389	1965	5	521.5
USGS	02091500	00060	85389	1965	6	1165
USGS	02091500	00060	85389	1965	7	2053
USGS	02091500	00060	85389	1965	8	1333
USGS	02091500	00060	85389	1965	9	174.9
